# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 17   Direction: Czerwone Maki P+R   Stops amount: 21   Route changed: True
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras;Czas
1;Dworzec Towarowy 02;Dworzec Towarowy;Czerwone Maki P+R;;0
2;Politechnika 04;Politechnika;;;2
3;Dworzec Główny Tunel 01;Dworzec Główny Tunel;;;3
4;Rondo Mogilskie 03;Rondo Mogilskie;;;5
5;Rondo Grzegórzeckie 02;Rondo Grzegórzeckie;;;8
6;Hala Targowa 02;Hala Targowa;;;10
7;Starowiślna 04;Starowiślna;;;11
8;Stradom 03;Stradom;;;13
9;Orzeszkowej 01;Orzeszkowej;;;14
10;Rondo Grunwaldzkie 01;Rondo Grunwaldzkie;;;17
11;Szwedzka 01;Szwedzka;;;18
12;Kapelanka 01;Kapelanka;;;20
13;Słomiana 01;Słomiana;;;21
14;Kobierzyńska 01;Kobierzyńska;;;23
15;Lipińskiego 01;Lipińskiego;;;25
16;Grota-Roweckiego 01;Grota-Roweckiego;;;26
17;Norymberska 01;Norymberska;;;27
18;Ruczaj 01;Ruczaj;;;29
19;Kampus UJ 01;Kampus UJ;;;30
20;Kampus UP JP II 01;Kampus UP JP II;;;31
21;Czerwone Maki P+R 91;Czerwone Maki P+R;;koniec_trasy;33
# Generated at 2026-04-26 13:09
