Lp;Nazwa;Audio;Kierunek;Extras
1;Górka Narodowa P+R 01;Górka Narodowa P+R;Kurdwanów P+R;
2;Papierni Prądnickich 02;Papierni Prądnickich;;
3;Kuźnicy Kołłątajowskiej 02;Kuźnicy Kołłątajowskiej;;
4;Bociana 02;Bociana;;
5;Siewna Wiadukt 02;Siewna Wiadukt;;
6;Górnickiego 01;Górnickiego;;
7;Białoprądnicka 01;Białoprądnicka;;
8;Pachońskiego P+R 02;Pachońskiego P+R;;
9;Krowodrza Górka P+R 02;Krowodrza Górka P+R;;
10;Bratysławska 02;Bratysławska;;
11;Szpital Narutowicza 02;Szpital Narutowicza;;
12;Dworzec Towarowy 02;Dworzec Towarowy;;
13;Politechnika 04;Politechnika;;
14;Dworzec Główny Tunel 01;Dworzec Główny Tunel;;
15;Rondo Mogilskie 03;Rondo Mogilskie;;
16;Rondo Grzegórzeckie 04;Rondo Grzegórzeckie;;
17;Zabłocie 01;Zabłocie;;
18;Klimeckiego 01;Klimeckiego;;
19;Kuklińskiego 01;Kuklińskiego;;
20;Gromadzka 01;Gromadzka;;
21;Lipska 03;Lipska;;
22;Dworzec Płaszów Estakada 02;Dworzec Płaszów Estakada;;
23;Kabel 01;Kabel;;
24;Bieżanowska 03;Bieżanowska;;
25;Dauna 01;Dauna;;
26;Piaski Nowe 01;Piaski Nowe;;
27;Nowosądecka 01;Nowosądecka;;
28;Witosa 01;Witosa;;
29;Kurdwanów P+R 91;Kurdwanów P+R;;koniec_trasy
