Lp;Nazwa;Audio
1;Salwator 01;Salwator
2;Salwator 02;Salwator
3;Komorowskiego 02;Komorowskiego
4;Jubilat 02;Jubilat
5;Filharmonia 02;Filharmonia
6;Plac Wszystkich Świętych 02;Plac Wszystkich Świętych
7;Poczta Główna 03;Poczta Główna
8;Starowiślna 03;Starowiślna
9;Hala Targowa 01;Hala Targowa
10;Rondo Grzegórzeckie 01;Rondo Grzegórzeckie
11;Teatr Variété 01;Teatr Variété
12;Nullo 01;Nullo
13;Fabryczna 01;Fabryczna
14;Ofiar Dąbia 01;Ofiar Dąbia
15;Dąbie 01;Dąbie
16;TAURON Arena Kraków al. Pokoju 01;TAURON Arena Kraków Al. Pokoju
17;Ogród Doświadczeń 01;Ogród Doświadczeń
18;Rondo 308. Dywizjonu 01;Rondo 308. Dywizjonu
19;Gałczyńskiego 01;Gałczyńskiego
20;Rondo Czyżyńskie 03;Rondo Czyżyńskie
21;Bieńczycka 02;Bieńczycka
22;Rondo Kocmyrzowskie im. Ks. Gorzelanego 03;Rondo Kocmyrzowskie im. Ks. Gorzelanego
23;Teatr Ludowy 02;Teatr Ludowy
24;Cienista 02;Cienista
25;Wańkowicza 02;Wańkowicza
26;Darwina 01;Darwina
27;Jarzębiny 01;Jarzębiny
28;Wzgórza Krzesławickie 01;Wzgórza Krzesławickie
