# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 19   Direction: Borek Fałęcki   Stops amount: 20   Route changed: False
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras
1;Dworzec Towarowy 02;Dworzec Towarowy;Borek Fałęcki;
2;Politechnika 04;Politechnika;;
3;Dworzec Główny Tunel 01;Dworzec Główny Tunel;;
4;Rondo Mogilskie 03;Rondo Mogilskie;;
5;Rondo Grzegórzeckie 02;Rondo Grzegórzeckie;;
6;Hala Targowa 02;Hala Targowa;;
7;Starowiślna 04;Starowiślna;;
8;Miodowa 01;Miodowa;;
9;św. Wawrzyńca 01;Św. Wawrzyńca;;
10;Plac Bohaterów Getta 01;Plac Bohaterów Getta;;
11;Korona 02;Korona;;
12;Smolki 01;Smolki;;
13;Rondo Matecznego 01;Rondo Matecznego;;
14;Rzemieślnicza 01;Rzemieślnicza;;
15;Łagiewniki 01;Łagiewniki;;
16;Łagiewniki ZUS 01;Łagiewniki ZUS;;
17;Łagiewniki SKA 05;Łagiewniki SKA;;
18;Kościuszkowców 01;Kościuszkowców;;
19;Solvay 01;Solvay;;
20;Borek Fałęcki 91;Borek Fałęcki;;koniec_trasy
# Generated at 2026-04-17 16:50
