ID;Nazwa;ID TRAM;ID BUS;Lat;Lon;Strefa;Dzielnica;Ulica;Exit-only (E)/Tram (T)/Bus (B);NŻ;Ex ID;Ex Nazwa
2666-2;Wieliczka Klaśnieńska 02;;2666-02;49.980904444;20.055433055;;;;;;;
2391-1;Wieliczka Kopalnia Soli 01;;2391-01;49.984195000;20.057063611;;;;;;;
2391-2;Wieliczka Kopalnia Soli 02;;2391-02;49.984572777;20.055508888;;;;;;;
2669-1;Wieliczka Krzyszkowice Dom Ludowy 01;;2669-01;49.989827222;20.032036388;;;;;;;
2669-2;Wieliczka Krzyszkowice Dom Ludowy 02;;2669-02;49.989974166;20.031549722;;;;;;;
2495-1;Wieliczka Krzyszkowice Kościół 01;;2495-01;49.987970000;20.033681111;;;;;;;
2495-2;Wieliczka Krzyszkowice Kościół 02;;2495-02;49.987958055;20.032669722;;;;;;;
2695-2;Wieliczka Magistrat 02;;2695-02;49.984657500;20.059854444;;;;;;2694-02;Wieliczka Goliana 02
2390-1;Wieliczka Mediateka 01;;2390-01;49.984355833;20.063395833;;;;;;;
2390-2;Wieliczka Mediateka 02;;2390-02;49.984182777;20.064679166;;;;;;;
2492-1;Wieliczka Modrzewiowa 01;;2492-01;49.994699722;20.019902777;;;;;;;
2492-2;Wieliczka Modrzewiowa 02;;2492-02;49.994920555;20.019905277;;;;;;;
2644-1;Wieliczka Niepołomska Granica 01;;2644-01;49.992227500;20.085683888;;;;;;;
2797-1;Wieliczka Ochronka 01;;2797-01;49.981527777;20.070433055;;;;;;;
2828-1;Wieliczka Orzechowa 01;;2828-01;49.993999722;20.066260555;;;;;;;
2828-2;Wieliczka Orzechowa 02;;2828-02;49.993409166;20.065860000;;;;;;;
2300-1;Wieliczka Os. Kościuszki 01;;2300-01;49.993000000;20.042991944;;;;;;;Wieliczka Stacja Paliw 01
2300-2;Wieliczka Os. Kościuszki 02;;2300-02;49.993238333;20.042736944;;;;;;;Wieliczka Stacja Paliw 02
2496-1;Wieliczka Os. Szymanowskiego 01;;2496-01;49.988798611;20.038249166;;;;;;;
2496-2;Wieliczka Os. Szymanowskiego 02;;2496-02;49.988940555;20.038765277;;;;;;;
2496-4;Wieliczka Os. Szymanowskiego 04;;2496-04;49.988711111;20.037322500;;;;;;;
2643-1;Wieliczka Park 01;;2643-01;49.987335277;20.049481666;;;;;;;
2643-2;Wieliczka Park 02;;2643-02;49.986925833;20.050497500;;;;;;;
2798-1;Wieliczka Polna 01;;2798-01;49.979981111;20.077934444;;;;;;;
2798-2;Wieliczka Polna 02;;2798-02;49.980176111;20.077630277;;;;;;;
2782-01;Wieliczka Rondo Armii Krajowej 01;;2782-01;49.986910277;20.070008888;;;;;;2302-72;Wieliczka Miasto 72
2782-02;Wieliczka Rondo Armii Krajowej 02;;2782-02;49.986801111;20.070163888;;;;;;2302-73;Wieliczka Miasto 73
2491-1;Wieliczka Różana 01;;2491-01;49.998502222;20.024258333;;;;;;;
2667-1;Wieliczka Sąd 01;;2667-01;49.980705555;20.049398055;;;;;;;
2667-2;Wieliczka Sąd 02;;2667-02;49.980496944;20.051121388;;;;;;;
2668-1;Wieliczka Solne Miasto 01;;2668-01;49.985344444;20.046125000;;;;;;;
2668-2;Wieliczka Solne Miasto 02;;2668-02;49.985813611;20.045985000;;;;;;;
2781-3;Wieliczka Szyb Daniłowicza 03;;2781-03;49.983157777;20.056375833;;;;;;2391-03;Wieliczka Kopalnia Soli 03
2830-1;Wieliczka Zbożowa 01;;2830-01;50.002983611;20.055340000;;;;;;;
2830-2;Wieliczka Zbożowa 02;;2830-02;50.002343888;20.055287222;;;;;;;
2320-1;Wielka Wieś Szkoła 01;;2320-01;50.157398333;19.842211944;;;;;;;
2320-2;Wielka Wieś Szkoła 02;;2320-02;50.156298333;19.844204444;;;;;;;
2428-1;Wielkie Drogi Ośrodek Zdrowia 01;;2428-01;49.958946944;19.701908888;;;;;;;
2428-2;Wielkie Drogi Ośrodek Zdrowia 02;;2428-02;49.959262222;19.700960555;;;;;;;
2419-1;Wielkie Drogi PKP 01;;2419-01;49.957711666;19.711616388;;;;;;;
2419-2;Wielkie Drogi PKP 02;;2419-02;49.958082500;19.710240833;;;;;;;
2429-1;Wielkie Drogi Szkoła 01;;2429-01;49.960716111;19.695204722;;;;;;;
2429-2;Wielkie Drogi Szkoła 02;;2429-02;49.961004444;19.693652500;;;;;;;
2420-1;Wielkie Drogi Trzebol 01;;2420-01;49.960640277;19.687450277;;;;;;;
2420-2;Wielkie Drogi Trzebol 02;;2420-02;49.960784166;19.685307500;;;;;;;
366-1;Wierzyńskiego 01;;366-01;50.084979444;19.844472500;;;;;;;
366-2;Wierzyńskiego 02;;366-02;50.084207222;19.845354166;;;;;;;
2340-1;Więckowice Lipka 01;;2340-01;50.133647222;19.778984444;;;;;;;
2340-2;Więckowice Lipka 02;;2340-02;50.133974722;19.777635833;;;;;;;
2341-1;Więckowice Ogrodowa 01;;2341-01;50.137860277;19.769753611;;;;;;;
2341-2;Więckowice Ogrodowa 02;;2341-02;50.137538333;19.770189722;;;;;;;
2173-1;Więcławice Stare Centrum 01;;2173-01;50.154693611;20.028957500;;;;;;;
2173-2;Więcławice Stare Centrum 02;;2173-02;50.154567500;20.026760833;;;;;;;
2304-1;Więcławice Stare Wysyłek 01;;2304-01;50.154463055;20.033029166;;;;;;;
2304-2;Więcławice Stare Wysyłek 02;;2304-02;50.154406666;20.032998611;;;;;;;
289-1;Wiklinowa 01;;289-01;50.055670;20.024490;;;;;;;
289-2;Wiklinowa 02;;289-02;50.055890;20.025130;;;;;;;
2553-1;Wiktorowice Centrum 01;;2553-01;50.137514444;20.060979166;;;;;;;
2553-2;Wiktorowice Centrum 02;;2553-02;50.137326944;20.061266944;;;;;;;
2554-1;Wiktorowice Granica 01;;2554-01;50.141137500;20.056943055;;;;;;;
2554-2;Wiktorowice Granica 02;;2554-02;50.141532222;20.056485833;;;;;;;
2550-1;Wiktorowice Rozlewnia Wód 01;;2550-01;50.132408333;20.064408333;;;;;;;
2550-2;Wiktorowice Rozlewnia Wód 02;;2550-02;50.132601666;20.063875000;;;;;;;
2549-1;Wiktorowice Skrzyżowanie 01;;2549-01;50.132555555;20.058208055;;;;;NŻ;;
2549-2;Wiktorowice Skrzyżowanie 02;;2549-02;50.132130277;20.058443888;;;;;NŻ;;
2549-3;Wiktorowice Skrzyżowanie 03;;2549-03;50.1319195;20.0591595;;;;;NŻ;;
937-1;Wilczy Stok 01;;937-01;50.068189166;19.853173333;;;;;;;
